Well,Sample,Target,Name,Replicate,Cq,Eff,ok_amp,note
A01,01,FRK1,0hpi-WT,1,28.93,2.0156183693503076,TRUE,ok
A05,01,FRK1,0hpi-WT,2,28.84,2.096107438760485,TRUE,ok
A11,01,FRK1,0hpi-WT,3,28.58,2.11650802262494,TRUE,ok
A16,01,PP2A,0hpi-WT,1,25.99,2.0187561293955176,TRUE,ok
B16,01,PP2A,0hpi-WT,2,26.27,1.95084057262905,TRUE,ok
A21,01,PP2A,0hpi-WT,3,26.19,1.9975530865381323,TRUE,ok
B01,01,WRKY29,0hpi-WT,1,27.98,2.006608676659887,TRUE,ok
B05,01,WRKY29,0hpi-WT,2,27.59,2.1084223223186256,TRUE,ok
B11,01,WRKY29,0hpi-WT,3,27.55,2.03598105680725,TRUE,ok
C01,02,FRK1,2hpi-WT,1,24.03,2.0226175219036864,TRUE,ok
C05,02,FRK1,2hpi-WT,2,24.17,1.9960191658609936,TRUE,ok
C11,02,FRK1,2hpi-WT,3,23.75,2.073581813775707,TRUE,ok
C16,02,PP2A,2hpi-WT,1,25.21,2.0189406864486,TRUE,ok
D16,02,PP2A,2hpi-WT,2,25.71,2.0420355058117763,TRUE,ok
C21,02,PP2A,2hpi-WT,3,25.49,2.11748626341224,TRUE,ok
D01,02,WRKY29,2hpi-WT,1,25.58,2.092339491611668,TRUE,ok
D05,02,WRKY29,2hpi-WT,2,25.47,2.200760955285518,TRUE,ok
D11,02,WRKY29,2hpi-WT,3,25.82,2.0482508996502955,TRUE,ok
E01,03,FRK1,6hpi-Mock,1,25.74,2.1004890996071808,TRUE,ok
E05,03,FRK1,6hpi-Mock,2,25.79,2.0215145242995978,TRUE,ok
E11,03,FRK1,6hpi-Mock,3,25.44,2.2347579345975928,TRUE,ok
E16,03,PP2A,6hpi-Mock,1,25.61,2.0970042448340687,TRUE,ok
F16,03,PP2A,6hpi-Mock,2,25.74,1.8066740572811941,TRUE,ok
E21,03,PP2A,6hpi-Mock,3,25.84,2.0026746561510005,TRUE,ok
F01,03,WRKY29,6hpi-Mock,1,26.35,2.0480290160771384,TRUE,ok
F05,03,WRKY29,6hpi-Mock,2,26.56,1.962524360183071,TRUE,ok
F11,03,WRKY29,6hpi-Mock,3,26.25,1.9750885583821236,TRUE,ok
G01,04,FRK1,6hpi-WT,1,25.27,1.9842075072282448,TRUE,ok
G05,04,FRK1,6hpi-WT,2,25.53,1.9817397947113955,TRUE,ok
G11,04,FRK1,6hpi-WT,3,24.98,2.0159582678164276,TRUE,ok
G16,04,PP2A,6hpi-WT,1,26.21,1.9391517648871683,TRUE,ok
H16,04,PP2A,6hpi-WT,2,26.81,1.9511205903951856,TRUE,ok
G21,04,PP2A,6hpi-WT,3,26.37,1.9496892989673136,TRUE,ok
H01,04,WRKY29,6hpi-WT,1,26.56,2.0113173620236195,TRUE,ok
H05,04,WRKY29,6hpi-WT,2,26.4,1.9464732233791533,TRUE,ok
H11,04,WRKY29,6hpi-WT,3,26.63,1.9624288256816866,TRUE,ok
I01,05,FRK1,6hpi-OBC,1,26.31,1.967952993537426,TRUE,ok
I05,05,FRK1,6hpi-OBC,2,26.96,1.9800457741142137,TRUE,ok
I11,05,FRK1,6hpi-OBC,3,25.74,2.1308885789287006,TRUE,ok
I16,05,PP2A,6hpi-OBC,1,25.77,2.0740018700783005,TRUE,ok
J16,05,PP2A,6hpi-OBC,2,26.14,1.957984471992748,TRUE,ok
I21,05,PP2A,6hpi-OBC,3,25.99,2.004513751934033,TRUE,ok
J01,05,WRKY29,6hpi-OBC,1,26.45,2.168830039503803,TRUE,ok
J05,05,WRKY29,6hpi-OBC,2,26.44,1.9930120853042093,TRUE,ok
J11,05,WRKY29,6hpi-OBC,3,26.49,2.1009793279482016,TRUE,ok
K01,06,FRK1,10hpi-Mock,1,27.02,2.015264363537035,TRUE,ok
K05,06,FRK1,10hpi-Mock,2,27.24,1.9579696481537594,TRUE,ok
K11,06,FRK1,10hpi-Mock,3,26.37,2.1928583400151713,TRUE,ok
K16,06,PP2A,10hpi-Mock,1,25.34,2.104263998789403,TRUE,ok
L16,06,PP2A,10hpi-Mock,2,26.2,1.948926807597989,TRUE,ok
K21,06,PP2A,10hpi-Mock,3,25.69,2.100319751269593,TRUE,ok
L01,06,WRKY29,10hpi-Mock,1,27.36,2.0092715484269834,TRUE,ok
